alias,id,name,custom,unitType,abbreviation,multiplierToSI,parentSI,constantToSI,description,EML 2.2 standardUnit
,acre,acre,FALSE,area,a,4046.86,squareMeter,,1 acre = 4046.8564 square meters or 1 hectare = 2.4710 acres,acre
,ampere,ampere,FALSE,current,A,,,,SI unit of electrical current,ampere
,amperePerMeter,amperePerMeter,FALSE,magneticFieldStrength,A/m,,,,ampere per meter,amperePerMeter
amperePerSquareMeter,amperePerMeterSquared,amperePerMeterSquared,FALSE,currentDensity,A/m²,,,,ampere per meter squared,amperePerMeterSquared
,angstrom,angstrom,FALSE,length,Å,1.00E-10,meter,,1/10000000000 meter,angstrom
,are,are,FALSE,area,a,100,squareMeter,,100 square meters,are
,atmosphere,atmosphere,FALSE,pressure,atm,101325,pascal,,1 atmosphere = 101325 pascals ,atmosphere
,bar,bar,FALSE,pressure,bar,100000,pascal,,1 bar = 100000 pascals,bar
,becquerel,becquerel,FALSE,radionucleotideActivity,Bq,,,,becquerel,becquerel
BacquerelPerGramsCarbon,becquerelPerGram,becquerelPerGram,TRUE, radionucleotideActivity  ,,,,, radio nucleotide activity  per gram substance,#N/A
Becquerelpermilligram,becquerelPerMilligram,becquerelPerMilligram,TRUE, radionucleotideActivity  ,,,,, radio nucleotide activity  per milligram substance,#N/A
BecquerelPerMilliliter,becquerelPerMilliliter,becquerelPerMilliliter,TRUE, radionucleotideActivity  ,,,,, radio nucleotide activity  per milliliter substance,#N/A
,britishThermalUnit,britishThermalUnit,FALSE,energy,btu,1055.06,joule,,1 btu = 1055.0559 J,britishThermalUnit
,bushel,bushel,FALSE,volume,b,0.035239,liter,,1 bushel = 35.23907 liters,bushel
bushelsPerAcre,bushelPerAcre,bushelPerAcre,FALSE,volumetricArea,,0.0087,litersPerSquareMeter,,bushels per acre -- 1 bushel = 35.23907 liters/1 acre = 4046.8564 squareMeters,bushelPerAcre
,calorie,calorie,FALSE,energy,cal,4.1868,joule,,1 cal = 4.1868 J,calorie
,candela,candela,FALSE,luminosity,cd,,,,SI unit of luminosity,candela
candelaPerSquareMeter,candelaPerMeterSquared,candelaPerMeterSquared,FALSE,luminance,cd/m²,,,,candela Per Square Meter,candelaPerMeterSquared
"degC, Celsius",celsius,celsius,FALSE,temperature,C,1,kelvin,273.18,A common unit of temperature,celsius
,celsiusPerNumber,celsiusPerNumber,TRUE,,,,,,,#N/A
,centigram,centigram,FALSE,mass,cg,0.00001,kilogram,,0.00001 kg,centigram
cm,centimeter,centimeter,FALSE,length,cm,0.01,meter,,.01 meters,centimeter
,centimeterCubed,centimeterCubed,FALSE,volume,cm³,0.000001,meterCubed,,cubic meter,centimeterCubed
cubicCentimetersPerCubicCentimeters,centimeterCubedPerCentimeterCubed,centimeterCubedPerCentimeterCubed,TRUE,volumePerVolume,,,,,cubic centimeters per cubic centimeter,#N/A
,centimeterPerHour,centimeterPerHour,TRUE,speed,cm/hr,,,,centimeters per second,#N/A
centimetersPerSecond,centimeterPerSecond,centimeterPerSecond,FALSE,speed,cm/s,0.01,metersPerSecond,,centimeters per second,centimeterPerSecond
,centimeterPerYear,centimeterPerYear,FALSE,speed,cm/year,3.17E-10,metersPerSecond,,centimeter Per Year,centimeterPerYear
"squareCentimeters, cm^2, cm2, cm2.",centimeterSquared,centimeterSquared,FALSE,area,,0.0001,squareMeter,,square centimeters,centimeterSquared
"cm2/400 cm2,  cm^2/0.04m^2, squareCentimeterPer0.4SquareMeter, cm^2/0.4m^2, cm^2/.4m^2, squareCentimetersPer0.04SquareMeter",centimeterSquaredPerFourHundredthMeterSquared,centimeterSquaredPerFourHundredthMeterSquared,TRUE,,,,,,Leaf area  in square centimeter per .04 square meter of ground,#N/A
"cm2/g, squareCentimetersPerGram",centimeterSquaredPerGram,centimeterSquaredPerGram,TRUE,specificArea,cm2/g,0.1,squareMeterPerKilogram,,Specific leaf area,#N/A
"cmolc/kg, cmol+/kg, centimolesChargePerKilogram",centimolePerKilogram,centimolePerKilogram,TRUE,amountOfSubstanceConcentration,,0.01,mole,,centimoles of charge per kilogram of dry soil,#N/A
,centisecond,centisecond,FALSE,time,csec,0.01,second,,1/100 of a second,centisecond
,coulomb,coulomb,FALSE,charge,C,,,,SI unit of charge,coulomb
days,day,day,TRUE,time,,86400,second,,Day,#N/A
"julianDay, julian",dayOfYear,dayOfYear,TRUE,time,DY,,,,Day of year ranges from 1 to 365 (366 for leap years),#N/A
,decibar,decibar,FALSE,pressure,dbar,10000,pascal,,decibar = 0.1 bar or 10000 pascal,decibar
,decigram,decigram,FALSE,mass,dg,0.0001,kilogram,,0.0001 kg,decigram
,decimeter,decimeter,FALSE,length,dm,0.1,meter,,.1 meters,decimeter
,decisecond,decisecond,FALSE,time,dsec,0.1,second,,1/10 of a second,decisecond
degrees,degree,degree,FALSE,angle,º,0.0174533,radian,,360 degrees comprise a unit circle,degree
,dekagram,dekagram,FALSE,mass,dag,0.01,kilogram,,.01 kg,dekagram
,dekameter,dekameter,FALSE,length,dam,10,meter,,10 meters,dekameter
,dekasecond,dekasecond,FALSE,time,dasec,10,second,,10 seconds,dekasecond
"unitless, fraction, pH",dimensionless,dimensionless,FALSE,dimensionless,,,,,a designation asserting the absence of an associated unit,dimensionless
disintegrationsPerMinute,disintegrationPerMinute,disintegrationPerMinute,TRUE,radionucleotideActivity,DPM,0.016666667,becquerel,,DPM = radioactive disintegrations per minute,#N/A
,effortPerGram,effortPerGram,TRUE,,,,,,,#N/A
,equivalentPerLiter,equivalentPerLiter,FALSE,amountOfSubstanceConcentration,µE/l,NA,molePerMeterCubed,,concentration of charge (on dissolved ions). conversions must know the name of the ion; ,
"      a single multiplier to SI is not possible""",equivalentPerLiter,,,,,,,,,
,fahrenheit,fahrenheit,FALSE,,F,0.556,kelvin,255.402,unit for temperature on the scale in which water freezes at 32 and boils ,
"      at 212 under standard conditions.""",fahrenheit,,,,,,,,,
fahrenheit,fahrenheitDegree,fahrenheitDegree,TRUE,temperature,F,0.556,kelvin,255.402,An obsolescent unit of temperature still used in popular meteorology,#N/A
,farad,farad,FALSE,capacitance,F,,,,farad,farad
,fathom,fathom,FALSE,length,,1.8288,meter,,6 feet,fathom
,foot,foot,FALSE,length,ft,0.3048,meter,,12 inches,foot
,Foot_Gold_Coast,Foot_Gold_Coast,FALSE,,gcft,0.3047997,meter,,12 inches,Foot_Gold_Coast
,Foot_US,Foot_US,FALSE,,usft,0.3048006,meter,,12 inches,Foot_US
cubicFeetPerSecond,footCubedPerSecond,footCubedPerSecond,FALSE,volumetricRate,ft³/sec,28.3169,litersPerSecond,,cubic feet per second,footCubedPerSecond
Foot_Gold_Coast,footGoldCoast,footGoldCoast,TRUE,length,gcft,0.3048,meter,,12 inches,#N/A
feetPerDay,footPerDay,footPerDay,FALSE,speed,ft/day,3.53E-06,metersPerSecond,,feet per day,footPerDay
feetPerHour,footPerHour,footPerHour,FALSE,speed,ft/hr,0.000084667,metersPerSecond,,feet per hour,footPerHour
feetPerSecond,footPerSecond,footPerSecond,FALSE,speed,ft/s,0.3048,metersPerSecond,,feet per second,footPerSecond
,footPound,footPound,FALSE,energy,,1.35582,joule,,1 ft-lbs = 1.355818 J,footPound
squareFoot,footSquared,footSquared,FALSE,area,ft²,0.092903,squareMeter,,12 inches squared,footSquared
feetSquaredPerDay,footSquaredPerDay,footSquaredPerDay,FALSE,transmissivity,ft²/day,0.000124586,metersSquaredPerSecond,,feet squared per day,footSquaredPerDay
,gallon,gallon,FALSE,volume,gal,3.78541,liter,,US liquid gallon,gallon
,grad,grad,FALSE,angle,grad,0.015707,radian,,grad,grad
,gram,gram,FALSE,mass,g,0.001,kilogram,,0.001 kg,gram
"gramsPerCubicCentimeter, (g/cc), g/cm3",gramPerCentimeterCubed,gramPerCentimeterCubed,FALSE,massDensity,g/cm³,1000,kilogramPerCubicMeter,,grams per cubic centimeter,gramPerCentimeterCubed
,gramPercentimeterSquared,gramPercentimeterSquared,FALSE,arealMassDensity,g/cm²,10,kilogramPerMeterSquared,,grams per square meter,gramPercentimeterSquared
gramsPerCentimeterSquaredPerSecond,gramPerCentimeterSquaredPerSecond,gramPerCentimeterSquaredPerSecond,FALSE,arealMassDensityRate,,0.1,kilogramsPerMeterSquaredPerSecond,,grams Per Centimeter Squared Per Second,gramPerCentimeterSquaredPerSecond
,gramPerDayPerHectare,gramPerDayPerHectare,FALSE,massFlux,g/d/hectare,1.16E-12,kilogramPerMeterSquaredPerSecond,,grams Per Hectare Squared Per Day,gramPerDayPerHectare
,gramPerDayPerLiter,gramPerDayPerLiter,FALSE,volumetricMassDensityRate,g/d/l,1,gramPerDayPerLiter,,grams Per (Liter Per Day),gramPerDayPerLiter
"gm/0.04m^2, g/0.04 m^2, gm/.04m^2, g/0.4m^2, g/.4m^2, g/0.04m2, gramsper0.4squaremeter, gramsPer0.4SquareMeter, gm/.4m^2, gramsPer0.04SquareMeter",gramPerFourHundredthMeterSquared,gramPerFourHundredthMeterSquared,TRUE,arealMassDensity,,0.00004,kilogramsPerSquareMeter,,grams per 0.04 square meter,#N/A
gramsPerGram,gramPerGram,gramPerGram,FALSE,massPerMass,,,,,grams per gram,gramPerGram
gramsPerHectarePerDay,gramPerHectarePerDay,gramPerHectarePerDay,TRUE,arealMassDensityRate,,1.16E-12,kilogramsPerMeterSquaredPerSecond,,grams Per Hectare Squared Per Day,#N/A
gramsPerKilogram,gramPerKilogram,gramPerKilogram,TRUE,massPerMass,,,,,grams per kilogram of substance,#N/A
gramsPerLiter,gramPerLiter,gramPerLiter,FALSE,massDensity,g/l,1,kilogramPerCubicMeter,,grams per liter,gramPerLiter
gramsPerLiterPerDay,gramPerLiterPerDay,gramPerLiterPerDay,TRUE,volumetricMassDensityRate,,,,,grams Per (Liter Per Day),#N/A
g/m^3,gramPerMeterCubed,gramPerMeterCubed,TRUE,arealMassDensity,g/m^3,,,,grams per cubic meter,#N/A
"gramsPerSquareMeter, g/m2, gm/m^2, g/m^2, gramsNitrogenPerSquareMeter, gramsPotassiumPerSquareMeter, gramsCalciumPerSquareMeter, gramsMagnesiumPerSquareMeter, gramsPhosphorusPerSquareMeter,  gramsPerMeterSquared",gramPerMeterSquared,gramPerMeterSquared,FALSE,arealMassDensity,g/m²,0.001,kilogramsPerSquareMeter,,grams per square meter,gramPerMeterSquared
"g/m2/day, gramsPerMeterSquaredPerDay",gramPerMeterSquaredPerDay,gramPerMeterSquaredPerDay,FALSE,amountOfSubstanceWeightFlux,,,,,grams of substance per meter squared per day,gramPerMeterSquaredPerDay
,gramPerMeterSquaredPerDayPerEffort,gramPerMeterSquaredPerDayPerEffort,TRUE,amountOfSubstanceWeightFlux,,,,,gramPerMeterSquaredPerDayPerEffort,#N/A
gramsPerMeterSquaredPerYear,gramPerMeterSquaredPerYear,gramPerMeterSquaredPerYear,FALSE,arealMassDensityRate,,3.17E-11,kilogramsPerMeterSquaredPerSecond,,grams Per Meter Squared Per Year,gramPerMeterSquaredPerYear
"gramsPerMilliliter, GramsCarbonPerMilliliter",gramPerMilliliter,gramPerMilliliter,FALSE,massDensity,g/ml,1000,kilogramPerCubicMeter,,grams per milliliter,gramPerMilliliter
"g/#, gramsPerNumber",gramPerNumber,gramPerNumber,TRUE,,,,,,Mass of leaves divided by number of leaves.,#N/A
gramsPerYear,gramPerYear,gramPerYear,FALSE,massFlux,g/yr,3.17E-11,kilogramsPerSecond,,grams Per Year,gramPerYear
,gray,gray,FALSE,specificEnergy,Gy,,,,gray,gray
,hectare,hectare,FALSE,area,ha,10000,squareMeter,,1 hectare is 10^4 square meters,hectare
,hectogram,hectogram,FALSE,mass,hg,0.1,kilogram,,.1 kg,hectogram
