"YEAR","MONTH","DATE","SITE","Site Name","PLOT","REP","TREAT","FLOW_TUSS","FLOW_TILL","SITE_COD","TOY","TUSS PER PLOT","Include in grand avg.","Comments"
1977,5,1977-05-28,1,Eagle Creek -1976,,54,222000,3,6,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,131,222000,5,18,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,180,222000,4,4,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,214,222000,0,0,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,102,222000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,41,220000,2,5,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,100,220000,5,5,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,115,220000,4,7,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,184,220000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,252,220000,3,7,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,63,202000,3,5,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,73,202000,3,10,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,76,202000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,105,202000,4,8,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,213,202000,4,5,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,71,022000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,130,022000,3,7,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,171,022000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,200,022000,3,9,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,221,022000,1,1,#N/A,1,#N/A,N,
1977,5,1977-05-28,1,Eagle Creek -1976,,51,200000,4,6,#N/A,1,#N/A,N,
