geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
No Name Creek NO NAME CK	66.117092999999997	66.117092999999997	-150.16755570000001	-150.16755570000001
KANUTI KANUTI	66.407460599999993	66.407460599999993	-150.54500949999999	-150.54500949999999
GOBBLERS GOBBLERS	66.745920400000003	66.745920400000003	-150.68623349999999	-150.68623349999999
GRAYLING GRAYLING	66.969666000000004	66.969666000000004	-150.34806610000001	-150.34806610000001
MACS LAKE MACS LAKE	67.135727700000004	67.135727700000004	-150.35064510000001	-150.35064510000001
COLDFOOT Flowering Site COLDFOOT	67.258900400000002	67.258900400000002	-150.16999519999999	-150.16999519999999
SNOWDEN SNOWDEN	67.803292200000001	67.803292200000001	-149.81711490000001	-149.81711490000001
TIMBERLINE TIMBERLINE	68.030007999999995	68.030007999999995	-149.67370210000001	-149.67370210000001
CHANDALAR CHANDALAR	68.051785899999999	68.051785899999999	-149.61135179999999	-149.61135179999999
ATIGUN Camp Flowering Site ATIGUN CP	68.173046299999996	68.173046299999996	-149.43922950000001	-149.43922950000001
PUMP 4 PUMP 4	68.432161500000007	68.432161500000007	-149.37271759999999	-149.37271759999999
GALBRAITH Flowering GALBRAITH	68.496087299999999	68.496087299999999	-149.4824375	-149.4824375
MS 117 MS 117	68.617576400000004	68.617576400000004	-149.3093093	-149.3093093
TOOLIK 78 TOOLIK 78	68.629254000000003	68.629254000000003	-149.57809700000001	-149.57809700000001
Kuparuk Flowering Site KUPARUK	68.6486065	68.6486065	-149.41113669999999	-149.41113669999999
DUST SITE DUST SITE	68.668970400000006	68.668970400000006	-149.22358259999999	-149.22358259999999
MS 119 DRY MS 119 DRY	68.760647599999999	68.760647599999999	-148.89072150000001	-148.89072150000001
MS121 MS121	68.876494600000001	68.876494600000001	-148.8550237	-148.8550237
SAG RIVER Flowering SAG RIVER	68.9074983	68.9074983	-148.84310830000001	-148.84310830000001
Happy Valley Flowering HAPPY VALL	69.139412500000006	69.139412500000006	-148.83776990000001	-148.83776990000001
MS 127 MS 127	69.424382399999999	69.424382399999999	-148.69760450000001	-148.69760450000001
