"Year","Site","Treatment","Block","Plot","Species","Rel.cover","Accepted Latin Name or category"
2008,06MAT,F5,2,2,And pol,6.3,Andromeda polifolia
2008,06MAT,F5,3,2,And pol,2.9,Andromeda polifolia
2008,06MAT,F5,3,4,And pol,0.9,Andromeda polifolia
2010,06MAT,CT,2,6,And pol,1.1,Andromeda polifolia
2010,06MAT,CT,3,3,And pol,0.5,Andromeda polifolia
2010,06MAT,F5,3,1,And pol,3.2,Andromeda polifolia
2011,06MAT,F5,3,7,And pol,0.6,Andromeda polifolia
2012,06MAT,F2,3,8,And pol,0.6,Andromeda polifolia
2012,06MAT,F5,3,1,And pol,1.5,Andromeda polifolia
2012,06MAT,F5,3,2,And pol,0.8,Andromeda polifolia
2012,06MAT,F5,3,8,And pol,1.8,Andromeda polifolia
2013,06MAT,F5,1,1,And pol,72.1,Andromeda polifolia
2014,06MAT,CT,3,6,And pol,1.0,Andromeda polifolia
2015,06MAT,CT,2,5,And pol,0.9,Andromeda polifolia
2015,06MAT,F2,3,5,And pol,0.7,Andromeda polifolia
2015,06MAT,F5,3,4,And pol,0.7,Andromeda polifolia
2015,06MAT,F5,3,5,And pol,0.7,Andromeda polifolia
2015,06MAT,F10,3,5,And pol,0.6,Andromeda polifolia
2016,06MAT,CT,1,2,And pol,0.8,Andromeda polifolia
2016,06MAT,F5,1,4,And pol,0.8,Andromeda polifolia
2016,06MAT,CT,2,4,And pol,1.2,Andromeda polifolia
2016,06MAT,CT,2,6,And pol,1.1,Andromeda polifolia
2016,06MAT,F2,2,6,And pol,1.3,Andromeda polifolia
2016,06MAT,F2,2,8,And pol,1.2,Andromeda polifolia
2016,06MAT,F5,2,8,And pol,1.0,Andromeda polifolia
2016,06MAT,CT,3,5,And pol,0.8,Andromeda polifolia
2016,06MAT,F2,3,3,And pol,1.9,Andromeda polifolia
2016,06MAT,F2,3,4,And pol,1.2,Andromeda polifolia
2016,06MAT,F2,3,5,And pol,0.8,Andromeda polifolia
2016,06MAT,F2,3,7,And pol,4.7,Andromeda polifolia
2016,06MAT,F2,3,8,And pol,4.7,Andromeda polifolia
2016,06MAT,F10,3,4,And pol,1.9,Andromeda polifolia
2016,06MAT,F10,3,6,And pol,1.0,Andromeda polifolia
2016,06MAT,F10,3,8,And pol,1.0,Andromeda polifolia
2017,06MAT,F2,3,1,And pol,0.7,Andromeda polifolia
2017,06MAT,F2,3,2,And pol,1.5,Andromeda polifolia
2017,06MAT,F2,3,3,And pol,1.2,Andromeda polifolia
2017,06MAT,F5,3,5,And pol,3.2,Andromeda polifolia
2018,06MAT,F2,3,1,And pol,0.6,Andromeda polifolia
2018,06MAT,F2,3,2,And pol,0.9,Andromeda polifolia
2018,06MAT,F2,3,3,And pol,0.8,Andromeda polifolia
2018,06MAT,F5,3,3,And pol,1.5,Andromeda polifolia
2018,06MAT,F5,3,5,And pol,0.8,Andromeda polifolia
