"id","name","unitType","udunitsSynonym","description","abbreviation","multiplierToSI","deprecatedInFavorOf","parentSI","constantToSI"
"dimensionless","dimensionless","dimensionless","","a designation asserting the absence of an associated unit",NA,NA,NA,NA,NA
"second","second","time","second","SI unit of time","sec","1",NA,NA,NA
"meter","meter","length","meter","SI unit of length","m","1",NA,NA,NA
"kilogram","kilogram","mass","kilogram","SI unit of mass","kg","1",NA,NA,NA
"kelvin","kelvin","temperature","kelvin","SI unit of temperature","K","1",NA,NA,NA
"coulomb","coulomb","charge","coulomb","SI unit of charge","C","1",NA,NA,NA
"ampere","ampere","current","ampere","SI unit of electrical current","A","1",NA,NA,NA
"mole","mole","amount","mole","SI unit of substance amount","mol","1",NA,NA,NA
"candela","candela","luminosity","candela","SI base unit of luminous intensity (luminous power per unti solid angle emitted
    by a point light source in a particular direction)","cd","1",NA,NA,NA
"number","number","dimensionless","count","a quantity or amount",NA,NA,NA,NA,NA
"cubicMeter","cubicMeter","volume","meter^3","cubic meter","m³","1","meterCubed",NA,NA
"nominalMinute","nominalMinute","time","minute","one minute of time excluding leap seconds, 60 seconds",NA,"60",NA,"second",NA
"nominalHour","nominalHour","time","hour","one hour excluding leap seconds, 3600 seconds",NA,"3600",NA,"second",NA
"nominalDay","nominalDay","time","day","one day excluding leap seconds, 86400 seconds",NA,"86400",NA,"second",NA
"nominalWeek","nominalWeek","time","week","one day excluding leap seconds, 604800 seconds",NA,"604800",NA,"second",NA
"nominalYear","nominalYear","time","common_year","one year excluding leap seconds and leap days, 31536000 seconds",NA,"31536000",NA,"second",NA
"nominalLeapYear","nominalLeapYear","time","leap_year","one 366 day year excluding leap seconds, 31622400 seconds",NA,"31622400",NA,"second",NA
"nanogram","nanogram","mass","nanogram","0.000000000001 kg","ng","0.000000000001",NA,"kilogram",NA
"microgram","microgram","mass","microgram","0.000000001 kg","µg","0.000000001",NA,"kilogram",NA
"milligram","milligram","mass","milligram","0.000001 kg","mg","0.000001",NA,"kilogram",NA
"centigram","centigram","mass","centigram","0.00001 kg","cg","0.00001",NA,"kilogram",NA
"decigram","decigram","mass","decigram","0.0001 kg","dg","0.0001",NA,"kilogram",NA
"gram","gram","mass","gram","0.001 kg","g","0.001",NA,"kilogram",NA
"dekagram","dekagram","mass","dekagram",".01 kg","dag","0.01",NA,"kilogram",NA
"hectogram","hectogram","mass","hectogram",".1 kg","hg","0.1",NA,"kilogram",NA
"megagram","megagram","mass","megagram","1000 kg","Mg","1000",NA,"kilogram",NA
"tonne","tonne","mass","metric_ton","unit of mass equal to 1,000 kilograms, equivalent to approximately 2,204.6 
      pounds,1.102 short tons (US) or 0.984 long tons (imperial). 
      Not part of the SI, but accepted for use with SI units and prefixes","T","1000",NA,"kilogram",NA
"pound","pound",NA,"avoirdupois_pound","1 pound (symbol lb) in the Avoirdupois (commerce) scale, and defined 
      as exactly 0.45359237 kg. Also equal to 16 avoirdupois ounces and to 7,000 grains.","lbs","0.4536",NA,"kilogram",NA
"ton","ton",NA,"short_ton","standard US (short) ton = 2000 lbs","ton","907.1999",NA,"kilogram",NA
"celsius","celsius",NA,"celsius","A common unit of temperature","C","1",NA,"kelvin","273.18"
"fahrenheit","fahrenheit",NA,"fahrenheit","unit for temperature on the scale in which water freezes at 32 and boils 
      at 212 under standard conditions.","F","0.556",NA,"kelvin","255.402"
"nanometer","nanometer",NA,"nanometer",".000000001 meters","nm","0.000000001",NA,"meter",NA
"micrometer","micrometer",NA,"micrometer",".000001 meters","µm","0.000001",NA,"meter",NA
"micron","micron",NA,"micrometer",".000001 meters","µ","0.000001","micrometer","meter",NA
"millimeter","millimeter",NA,"millimeter",".001 meters","mm","0.001",NA,"meter",NA
"centimeter","centimeter",NA,"centimeter",".01 meters","cm","0.01",NA,"meter",NA
"decimeter","decimeter",NA,"decimeter",".1 meters","dm","0.1",NA,"meter",NA
"dekameter","dekameter",NA,"dekameter","10 meters","dam","10",NA,"meter",NA
"hectometer","hectometer",NA,"hectometer","100 meters","hm","100",NA,"meter",NA
"kilometer","kilometer",NA,"kilometer","1000 meters","km","1000",NA,"meter",NA
"megameter","megameter",NA,"megameter","1000000 meters","Mm","1000000",NA,"meter",NA
"angstrom","angstrom",NA,"angstrom","1/10000000000 meter","Å","0.0000000001",NA,"meter",NA
"inch","inch",NA,"international_inch","unit of length in the (British) imperial and United States systems 
      usually understood as 1/12 f a foot.","in","0.0254",NA,"meter",NA
"Foot_US","Foot_US",NA,"US_survey_foot","12 inches","usft","0.3048006",NA,"meter",NA
"foot","foot",NA,"international_foot","12 inches","ft","0.3048",NA,"meter",NA
"Foot_Gold_Coast","Foot_Gold_Coast",NA,"","12 inches","gcft","0.3047997",NA,"meter",NA
"fathom","fathom",NA,"fathom","6 feet",NA,"1.8288",NA,"meter",NA
"nauticalMile","nauticalMile",NA,"nautical_mile","defined as exactly 1,852 meters (6,076.1 ft; 1.1508 mi). Historically, 
      defined as one minute of latitude.",NA,"1852",NA,"meter",NA
"yard","yard",NA,"international_yard","3 feet","yard","0.9144",NA,"meter",NA
"Yard_Indian","Yard_Indian",NA,"","This is an ESRI unit and the multiplier comes from ESRI. It may not be
      accurate.",NA,"0.914398530744440774",NA,"meter",NA
"Link_Clarke","Link_Clarke",NA,"","This is an ESRI unit and the multiplier comes from ESRI. It may not be
      accurate.",NA,"0.2011661949",NA,"meter",NA
"Yard_Sears","Yard_Sears",NA,"","This is an ESRI unit and the multiplier comes from ESRI. It may not be
      accurate.",NA,"0.91439841461602867","yard","meter",NA
"mile","mile",NA,"international_mile","5280 ft or 1609.344 meters","mile","1609.344",NA,"meter",NA
"nanosecond","nanosecond",NA,"nanosecond","1/1000000 of a second","nsec","0.000000001",NA,"second",NA
"microsecond","microsecond",NA,"microsecond","1/100000 of a second","µsec","0.000001",NA,"second",NA
"millisecond","millisecond",NA,"millisecond","1/1000 of a second","msec","0.001",NA,"second",NA
"centisecond","centisecond",NA,"centisecond","1/100 of a second","csec","0.01",NA,"second",NA
"decisecond","decisecond",NA,"decisecond","1/10 of a second","dsec","0.1",NA,"second",NA
"dekasecond","dekasecond",NA,"dekasecond","10 seconds","dasec","10",NA,"second",NA
"hectosecond","hectosecond",NA,"hectosecond","100 seconds","hsec","100",NA,"second",NA
"kilosecond","kilosecond",NA,"kilosecond","1000 seconds","ksec","1000",NA,"second",NA
"megasecond","megasecond",NA,"megasecond","1000000 seconds","Msec","1000000",NA,"second",NA
"minute","minute",NA,"minute","60 seconds","min","60",NA,"second",NA
"hour","hour",NA,"hour","3600 seconds","hr","3600",NA,"second",NA
"kiloliter","kiloliter","volume","kiloliter","1 cubic meter","kL","1",NA,"cubicMeter",NA
"microliter","microliter","volume","microliter","1/1000000 of a liter","µl","0.000000001",NA,"cubicMeter",NA
"milliliter","milliliter","volume","milliliter","1/1000 of a liter","ml","0.000001",NA,"cubicMeter",NA
"liter","liter","volume","liter","1000 cm^3","L","0.001",NA,"cubicMeter",NA
"gallon","gallon",NA,"US_liquid_gallon","US liquid gallon","gal","3.785412",NA,"liter",NA
"quart","quart",NA,"US_liquid_quart","US liquid quart","qt","0.946353",NA,"liter",NA
"bushel","bushel","volume","bushel","1 bushel = 35.23907 liters","b","35.23907",NA,"liter",NA
"cubicInch","cubicInch","volume","international_inch^3","cubic inch","in³","0.01638706","inchCubed","liter",NA
"pint","pint",NA,"US_liquid_pint","US liquid pint","pint","0.473176",NA,"liter",NA
"meterCubed","meterCubed","volume","meter^3","cubic meter","m³","1",NA,"meterCubed",NA
"centimeterCubed","centimeterCubed","volume","centimeter^3","cubic meter","cm³","0.000001",NA,"meterCubed",NA
"inchCubed","inchCubed","volume","international_inch^3","micromoles per square meter per second","in³","0.01638706",NA,"liter",NA
"radian","radian","angle","radian","2 pi radians comprise a unit circle.","rad","1",NA,NA,NA
"degree","degree","angle","arc_degree","360 degrees comprise a unit circle","º","0.0174532924",NA,"radian",NA
"grad","grad","angle","","a plane angle equivalent to 1/400 of a full circle","grad","0.015707",NA,"radian",NA
"steradian","steradian","angle","steradian","standard unit of solid angle measure, it is the solid angle which cuts out an area
      on a sphere that is the square of the sphere's radius; as a ratio of two areas, it has no
      dimension","sr","1",NA,NA,NA
"megahertz","megahertz","frequency","megahertz","megahertz","MHz","1000000",NA,"hertz",NA
"kilohertz","kilohertz","frequency","kilohertz","kilohertz","KHz","1000",NA,"hertz",NA
"hertz","hertz","frequency","hertz","derived unit of frequency in the SI, defined as one cycle per second","Hz","1",NA,NA,NA
"millihertz","millihertz","frequency","millihertz","millihertz","mHz","0.001",NA,"hertz",NA
"newton","newton","force","newton","newton","N","1",NA,NA,NA
"joule","joule","energy","joule","joule = N*m","J","1",NA,NA,NA
"calorie","calorie","energy","IT_calorie","unit of energy: amount of energy to raise the temperature of one gram of water 
      by one degree Celsius at a pressure of one atmosphere. cal = 4.1868 J","cal","4.1868",NA,"joule",NA
"britishThermalUnit","britishThermalUnit","energy","IT_Btu","an energy unit: 1 btu = 1055.0559 J","btu","1055.0559",NA,"joule",NA
"footPound","footPound","energy","international_foot pound_force","1 ft-lbs = 1.355818 J",NA,"1.355818",NA,"joule",NA
"langley","langley","arealEnergyDensity","langley","unit of energy density = 41840 joule/m^2, = 1 calorie/cm^2","Ly","41840",NA,"joulePerMeterSquared","0"
"lumen","lumen","luminosity","lumen","SI unit for the total quantity of visible light in a defined beam or angle.
      1 lumen/m^2 = 1 lux. 1 lumen = 1 candela * steradian ","lm","1",NA,NA,NA
"lux","lux","illuminance","lux","SI derived unit for illuminance, or luminous flux per unit area. 1 lx = 1 lm/m^2 = 1 cd * sr/m^2","lx","1",NA,NA,NA
"becquerel","becquerel","radionucleotideActivity","becquerel","SI derived unit of radioactivity. the activity of a quantity of radioactive material in which 
      one nucleus decays per second, and equivalent to an inverse second, s^-1.","Bq","1",NA,NA,NA
"gray","gray","specificEnergy","gray","SI derived unit of ionizing radiation, defined as the absorption of one joule of 
      radiation energy per kilogram of matter (= 1 J/kg)","Gy","1",NA,NA,NA
"sievert","sievert","doseEquivalent","sievert","SI derived unit of ionizing radiation dose (health effect of low levels of ionizing 
      radiation on humans). 1 Sv =  100 rem (rem is an older, non-SI unit)","Sv","1",NA,NA,NA
"katal","katal","catalyticActivity","katal","derived SI unit for quantifying enzymatic activity.A property of the catalyst 
      (not rate of reaction), expressed in moles/second.","kat","1",NA,NA,NA
"henry","henry","inductance","henry","SI derived unit for inductance; in SI base units: kg * m^2 * s^-2 * A^-2","H","1",NA,NA,NA
"megawatt","megawatt","power","megawatt","unit of power, to quantify rate of energy transfer. 1 W = J/s","MW","1000000",NA,"watt",NA
"kilowatt","kilowatt","power","kilowatt","unit of power, to quantify rate of energy transfer. 1 W = J/s","kW","1000",NA,"watt",NA
"watt","watt","power","watt","unit of power, to quantify rate of energy transfer. 1 W = J/s","W","1",NA,NA,NA
"milliwatt","milliwatt","power","milliwatt","unit of power, to quantify rate of energy transfer. 1 W = J/s","mW","0.001",NA,"watt",NA
"megavolt","megavolt","potentialDifference","megavolt","Derived unit for electric potential, electric potential difference, 
      and electromotive force. 1 V = kg * m^2 * s^-3 * A^-1","MV","1000000",NA,"volt",NA
"kilovolt","kilovolt","potentialDifference","kilovolt","Derived unit for electric potential, electric potential difference, 
      and electromotive force. 1 V = kg * m^2 * s^-3 * A^-1","kV","1000",NA,"volt",NA
"volt","volt","potentialDifference","volt","Derived unit for electric potential, electric potential difference, 
      and electromotive force. 1 V = kg * m^2 * s^-3 * A^-1","V","1",NA,NA,NA
